UID,Engine Identification,Combustor Description,Manufacturer,Test Organisation,Test Location,Test date to,Test date from,Eng Type,B/P Ratio,Press Ratio,Rated Output(kN),Superseded by UID,Dp/Foo HC Characteristic,Characteristic % of Reg limit,LTO Total mass (g),Dp/Foo CO Characteristic,Nox Total mass (g),Smoke Number Characteristic,Fuel Spec,Fuel H/C Ratio,Ambient Baro kPa,Remarks
7PW081,PW4164,Talon II,Pratt & Whitney,Pratt & Whitney,"East Hartford, CT",10-Apr-00,,TF,5.2,30.1,284.68,-,0.8 ,3.8 ,139 ,31.2 ,12150 ,16.1,Jet A,1.94,101.4-102.3,Data from Report PWA-7138
9PW092,PW4164-1D,Talon IIB,Pratt & Whitney,Pratt & Whitney,"East Hartford, CT",12-May-08,13-May-08,TF,5.06,31.3,286.9,-,3.00,15.2,556,29.3,12895,7.50,Jet A,1.89,100.80-101.42,Talon IIB combustor with improved exit temperature profile.
1PW050,PW4168,Floatwall,Pratt & Whitney,Pratt & Whitney,"East Hartford, CT",14-Feb-93,17-Feb-93,TF,5.1,33.10 ,302.48,-,6.0 ,30.6 ,1179 ,35.5 ,19704 ,5.1,Jet A,1.89,101.3,Data from X821-3 with Floatwall Combustor
5PW075,PW4168,Talon II,Pratt and Whitney,Pratt and Whitney,"East Hartford, Conn. USA",10-Apr-00,,TF,5.1,31.84,302.5,-,0.5 ,2.3 ,78 ,27.4 ,13936 ,16.4,Jet A,1.94,101.4 - 102.3,1. Data from Report PWA-7138.  2. TALON II Combustor
9PW093,PW4168-1D,Talon IIB,Pratt & Whitney,Pratt & Whitney,"East Hartford, CT",12-May-08,13-May-08,TF,4.92,33.10,305.10,-,1.90,9.90,385,24.7,14812,7.50,Jet A,1.89,100.80-101.42,Talon IIB combustor with improved exit temperature profile.
4PW067,PW4168A,Floatwall,Pratt & Whitney,Pratt & Whitney,"East Hartford, CT",14-Feb-93,17-Feb-93,TF,5.1,33.1,302.48,-,6.0 ,30.6 ,1179 ,35.5 ,19704 ,5.1,Jet A,1.89,101.3,Data from X821-3 with Floatwall Combustor
7PW082,PW4168A,Talon II,Pratt & Whitney,Pratt & Whitney,"East Hartford, CT",10-Apr-00,,TF,5.1,31.84,302.5,-,0.5 ,2.3 ,78 ,27.4 ,13936 ,16.4,Jet A,1.94,101.4 - 102.3,Data from Report PWA-7138
9PW094,PW4168A-1D,Talon IIB,Pratt & Whitney,Pratt & Whitney,"East Hartford, CT",12-May-08,13-May-08,TF,4.92,33.10,305.10,-,1.90,9.90,385,24.7,14812,7.50,Jet A,1.89,100.80-101.42,"1. Talon IIB combustor with improved exit temperature profile.  2. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  3. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
9PW095,PW4170,Talon IIB,Pratt & Whitney,Pratt & Whitney,"East Hartford, CT",12-May-08,13-May-08,TF,4.86,33.8,311.4,-,1.70,8.60,341,23.2,15526,7.50,Jet A,1.89,100.80-101.42,"1. Talon IIB combustor with improved exit temperature profile.  2. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  3. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
1PW051,PW4256,,Pratt & Whitney,Pratt & Whitney,"P7 Stand, P&W, Middletown, CT",14-May-86,14-May-86,TF,4.7,29.3,252.4,-,1.8 ,9.4 ,288 ,17.4 ,13043 ,18.4,Jet A,1.87,101.63,-
1PW052,PW4460,Reduced smoke,Pratt & Whitney,-,-,17-Aug-87,23-Aug-87,TF,4.5,32.4,266.9,-,3.4 ,17.3 ,595 ,33.3 ,14097 ,10.7,Jet A,1.88,100.2,Data from X698-5 with reduced smoke combustor.
1PW053,PW4x50,Phase 3 ,Pratt & Whitney,Pratt & Whitney,"Middletown, CT",15-Jan-93,19-Jan-93,TF,5.0 ,25.39,222.4,-,14.6 ,74.6 ,2104 ,64.1 ,9681 ,8.8,Jet A,1.91,102.0 ,Data from X693-20 with Phase 3 reduced pressure loss combustor
1PW054,PW4x52,Phase 3 ,Pratt & Whitney,Pratt & Whitney,"Middletown, CT",15-Jan-93,19-Jan-93,TF,5.0 ,26.32,231.3,-,12.8 ,65.2 ,1914 ,59.2 ,10449 ,9.4,Jet A,1.91,102.0 ,Data from X693-20 with Phase 3 reduced pressure loss combustor
1PW055,PW4x56,Phase 3 ,Pratt & Whitney,Pratt & Whitney,"Middletown, CT",15-Jan-93,19-Jan-93,TF,4.8,28.37,249.1,-,9.9 ,50.3 ,1597 ,50.3 ,12246 ,10.9,Jet A,1.91,102.0 ,Data from X693-20 with Phase 3 reduced pressure loss combustor
1PW056,PW4x58,Phase 3 ,Pratt & Whitney,Pratt & Whitney,"Middletown, CT",15-Jan-93,19-Jan-93,TF,4.8,29.49,258.0 ,-,8.8 ,44.8 ,1481 ,46.6 ,13305 ,11.7,Jet A,1.91,102.0 ,Data from X693-20 with Phase 3 reduced pressure loss combustor
5PW074,PW4X58,Talon II,Pratt and Whitney,Pratt and Whitney,"East Hartford, Conn. USA",3-Nov-99,4-Nov-99,TF,4.8,28.41,258.0,-,3.4 ,17.3 ,562 ,41.6 ,10297 ,14.9,Jet A,1.9,100.0 - 101.3,1. Data from Report PWA-7312.  2. TALON II Combustor
1PW057,PW4x60,Phase 3 ,Pratt & Whitney,Pratt & Whitney,"Middletown, CT",15-Jan-93,19-Jan-93,TF,4.7,30.68,266.9,-,7.7 ,39.3 ,1324 ,42.6 ,14505 ,12.4,Jet A,1.91,102.0 ,"1. Data from X693-20 with Phase 3 reduced pressure loss combustor  2. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  3. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
1PW058,PW4x62,Reduced smoke,Pratt & Whitney,-,-,17-Aug-87,23-Aug-87,TF,4.4,33.4,275.8,-,3.1 ,15.7 ,571 ,31.4 ,15470 ,10.8,Jet A,1.88,100.2,Data from X698-5 with reduced smoke combustor.
1PW059,PW4x62,Phase 3 ,Pratt & Whitney,Pratt & Whitney,"Middletown, CT",15-Jan-93,19-Jan-93,TF,4.6,31.91,275.8,-,6.6 ,33.8 ,1192 ,39.2 ,15864 ,13.0,Jet A,1.91,102.0 ,"1. Data from X693-20 with Phase 3 reduced pressure loss combustor  2. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  3. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
7PW083,PW6122A,Talon II,Pratt & Whitney,Pratt & Whitney,"Stand X8, Pratt & Whitney, East Hartford, CT",12-Dec-03,13-Dec-03,MTF,4.8,25.7,98.31,-,0.0 ,0.1 ,1 ,57.4 ,3228 ,5.8,Jet A,1.924,100.8-102.7,"1. Data from Report PWA 7662  2.Engine Type description originally wrongly given as TF; amended in Issue 15 to MTF   3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
7PW084,PW6124A,Talon II,Pratt & Whitney,Pratt & Whitney,"Stand X8, Pratt & Whitney, East Hartford, CT",12-Dec-03,13-Dec-03,MTF,4.8,28,105.87,-,0.0 ,0.1 ,1 ,56.7 ,4170 ,6.7,Jet A,1.924,100.8-102.7,"1. Data from Report PWA 7662  2.Engine Type description originally wrongly given as TF; amended in Issue 15 to MTF   3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
12PW101,PW4060,Phase III,Pratt & Whitney,Pratt & Whitney,"P7 Production Test Cell, Middletown, CT",11/30/2012,12-Mar-12,TF,4.7,29.7,266.9,-,18.4 ,93.9 ,3776 ,63.3 ,13333 ,9.3,Jet A,-,101.90-102.55,"1. Data from Report PWA-9720-20 with Phase 3 reduced pressure loss combustor  2. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  3. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
12PW102,PW4062,Phase III,Pratt & Whitney,Pratt & Whitney,"P7 Production Test Cell, Middletown, CT",11/30/2012,12-Mar-12,TF,4.6,31,275.8,-,17.0 ,86.5 ,3594 ,59.8 ,14555 ,10.0,Jet A,-,101.90-102.55,"1. Data from Report PWA-9720-20 with Phase 3 reduced pressure loss combustor  2. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  3. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
1RR001,M45H-01,,Rolls Royce Ltd,Rolls Royce Ltd,Bristol,May-05,May-05,TF,3.0 ,16.5,32.4,-,182.6 ,931.6 ,,558.6 ,1001 ,49.8,DERD 2494,1.94,98.6-102.1,Stage bleed on 2 engines
1RR002,RB211-22B,Package 1,Rolls Royce Ltd,Rolls Royce Ltd,Derby,Jun-79,Aug-79,TF,4.7,25.0 ,182.5,-,154.9 ,790.4 ,29381 ,222.0 ,10142 ,18.9,DERD 2494,1.94,99.3-100.3,Package 1 combustor.
1RR003,RB211-22B,Package 1,Rolls Royce Ltd,"NGTE, Pyestock, UK","British Airways Test Facility, Heathrow",Mar-79,Apr-80,TF,4.7,25.0 ,182.5,,148.7 ,758.7 ,24653 ,198.3 ,10545 ,24.0,DERD 2494,,99.6-102.2,"1. Package 1 combustor.  2. Tests performed on in-service engine(s), after overhaul.  3. SN mode data scaled from 1RR002"
1RR004,RB211-524B series,Package 1,Rolls Royce Ltd,Rolls Royce Ltd,Derby,Jun-79,Aug-79,TF,4.5,28.0 ,218.5 ,-,124.0 ,632.7 ,22453 ,197.8 ,16270 ,19.7,DERD 2494,1.94,99.3-100.3,"1. Package 1 Combustor.  2. Applicable to RB211-524B, B2, B3, B4."
1RR005,RB211-524B series,Phase 2,Rolls Royce Ltd,Rolls Royce Ltd,SINFIN-Derby,Sep-86,Sep-86,TF,4.5,28.4 ,218.5,-,6.5 ,33.4 ,934 ,28.1 ,16935 ,15.8,AVTUR,1.91,103,1. Data from certification report CRR60515.  2. Phase 2 combustor.  3. Applicable to engines manufactured after Feb 87.  4. SN mode data scaled from 1RR004
1RR006,RB211-524C2,Package 1,Rolls Royce Ltd,Rolls Royce Ltd,SINFIN-Derby,Sep-86,-,TF,4.5,29.1 ,224.8,-,179.4 ,915.4 ,26209 ,227.6 ,16401 ,18.7,AVTUR,1.91,102,1. Package 1 combustor  2. SN mode data scaled from 1RR004
1RR007,RB211-524D4,Package 1,Rolls Royce Ltd,Rolls Royce Ltd,SINFIN-Derby,Nov-82,-,TF,4.3,29.7 ,231.3,-,114.1 ,582.1 ,22707 ,176.7 ,20514 ,13.4,AVTUR,1.91,101,1. Package 1 combustor  2. SN mode data scaled from 1RR004
1RR008,RB211-524D4,Phase 2,Rolls Royce Ltd,Rolls Royce Ltd,SINFIN-Derby,Sep-86,Sep-86,TF,4.3,30.22,231.3,-,5.3 ,27.0 ,805 ,22.2 ,20124 ,15.8,AVTUR,1.91,103,1. Data from certification report CRR60515.  2. Phase 2 combustor.  3. Applicable to engines manufactured after Feb 87.  4. SN mode data scaled from 1RR004
1RR009,RB211-524G,,Rolls Royce Ltd,Rolls Royce Ltd,SINFIN-Derby,Apr-87,May-87,MTF,4.25,32.1,253,1RR010,13.3 ,67.7 ,2174 ,28.8 ,21075 ,5.0,AVTUR,1.91,101,Data from certification report CRR60560
1RR010,RB211-524G,,Rolls Royce Ltd,Rolls Royce Ltd,SINFIN-Derby,Apr-87,Oct-92,MTF,4.25,32.1,253,-,2.8 ,14.2 ,540 ,28.8 ,21075 ,5.0,AVTUR,1.91,101,HC data remeasured.
4RR036,RB211-524G-T,,Rolls-Royce plc,Rolls-Royce plc,"SINFIN, Derby",Sep-94,,MTF,4.25,32.1,253,-,9.6 ,49.0 ,1610 ,56.9 ,12513 ,6.9,AVTUR,1.95,100.2,Data from Certification Report DNS38044
1RR011,RB211-524H,,Rolls Royce Ltd,Rolls Royce Ltd,SINFIN-Derby,Apr-87,Oct-92,MTF,4.2,34.0 ,264.4,-,2.5 ,12.8 ,495 ,23.8 ,24501 ,5.0,AVTUR,1.91,101,-
4RR037,RB211-524H-T,,Rolls-Royce plc,Rolls-Royce plc,"SINFIN, Derby",Sep-94,,MTF,4.2,34.0,264,-,8.0 ,40.6 ,1348 ,51.2 ,13995 ,6.9,AVTUR,1.95,100.2,Data from Certification Report DNS38044
1RR012,RB211-535C,,Rolls Royce Ltd,Rolls Royce Ltd,SINFIN-Derby,Apr-84,May-84,TF,4.5,21.5,163.3,-,4.0 ,20.2 ,552 ,40.3 ,9277 ,8.8,AVTUR,1.91,-,Data from certification report CRR58085
1RR013,RB211-535E4,,Rolls Royce Ltd,Rolls Royce Ltd,SINFIN-Derby,2-Jul-84,25-Oct-84,MTF,4.1,25.4,176.1,1RR014,9.3 ,47.3 ,1268 ,32.6 ,13633 ,2.0,AVTUR,1.91,100.8-101.2,Ref RR report CRR58095
1RR014,RB211-535E4,,Rolls Royce Ltd,Rolls Royce Ltd,SINFIN-Derby,2-Jul-84,1-Apr-91,MTF,4.1,25.4,176.1,3RR028,2.6 ,13.3 ,307 ,32.6 ,13633 ,2.0,AVTUR,1.91,100.8-101.2,HC data remeasured.
3RR028,RB211-535E4,,Rolls Royce plc,Rolls Royce plc,"SINFIN, Derby",Apr-91,,MTF,4.1,25.8,178.4,-,0.9 ,4.6 ,111 ,27.4 ,11714 ,2.3,AVTUR,1.9,98.8,Data from Certification Report DNS21233
5RR038,RB211-535E4,Phase 5,Rolls-Royce plc,Rolls-Royce plc,Hucknall,May-99,,MTF,4.1,26.0,178.4,-,0.7 ,3.6 ,83 ,41.2 ,7492 ,9.4,AVTUR,1.931,100.7 - 101.2,1.  Data from certification report DNS63281.  2.  Phase 5 combustor
3RR034,RB211-535E4B,,Rolls Royce plc,Rolls Royce plc,"SINFIN, Derby",Apr-91,,MTF,4.1,27.65,191.73,-,0.7 ,3.6 ,88 ,24.1 ,14791 ,2.4,AVTUR,1.90,98.8,1. Data from Certification Report DNS21233
5RR039,RB211-535E4B,Phase 5,Rolls-Royce plc,Rolls-Royce plc,Hucknall,May-99,,MTF,4.1,27.9,191.7,-,0.4 ,2.2 ,54 ,36.5 ,8927 ,9.4,AVTUR,1.931,100.7 - 101.2,1.  Data from certification report DNS63281.  2.  Phase 5 combustor
4RR035,Spey 555,Transply IIF,Rolls-Royce plc,Rolls-Royce plc,"SINFIN, Derby",9-Jun-05,,MTF,1.0 ,15.9,44,-,19.3 ,98.5 ,552 ,144.9 ,2160 ,36.0,AVTUR,1.87-1.95,100.2,1. Ref RR report CRR10165  2. Transply IIF combustors with standard fuel pump
1RR015,SPEY Mk511,,Rolls Royce Ltd,Rolls Royce Ltd,Derby,23-May-05,28-May-05,MTF,0.64,19.9,50.7,8RR043,232.4 ,1185.5 ,11179 ,395.8 ,3513 ,77.9,DERD 2494,1.94,-,
1RR016,SPEY Mk511,Transply IIH,Rolls Royce Ltd,Rolls Royce Ltd,Derby,Sep-84,Aug-85,MTF,0.64,18.7,50.7,-,19.5 ,99.6 ,758 ,146.9 ,3701 ,25.7,DERD 2494,1.91,99-102,1. Data from RR report CRR10149.  2. Transply IIH combustors.
8RR043,SPEY Mk511,,Rolls Royce Ltd,Rolls Royce Ltd,Derby,23-May-05,28-May-05,MTF,0.64,19.9,50.7,-,232.4 ,1185.5 ,11179 ,395.8 ,3513 ,69.7,DERD 2494,1.94,-,1. SN (char) wrongly calculated originally as 77.9 [1RR015].  2. Corrected in Version 15 to 69.7 and % of standard recalculated.  3. Estimate  SN mode data by use of Calvert method
1RR017,SPEY Mk555,,Rolls Royce Ltd,Rolls Royce Ltd,Derby,26-May-05,28-May-05,MTF,1.0 ,16.1,43.8,-,510.1 ,2602.5 ,17160 ,442.1 ,2354 ,-,DERD 2494,1.94,102,1. Estimate SN by mode data by use of Calvert method
1RR018,SPEY Mk555,Transply IIF,Rolls Royce Ltd,-,-,Aug-83,Nov-84,MTF,1.0 ,15.9,44,-,8.3 ,42.3 ,315 ,115.0 ,2880 ,28.4,DERD 2494,1.91,99-102,1. Ref RR report CRR10145.  2. Transply IIF combustors with H.P. fuel pump.
6RR042,TAY 611-8C,Transply IIJ,Rolls-Royce,Rolls-Royce,Dahlewitz,21-Jan-02,22-Jan-02,MTF,3.2,15.75,61.61,-,4.6,23.2,182.44044,101.6,2562,5.06,-,1.986,99.9 - 100,1. Certification report E-TR164/02  2. New airspray fuel injector
11RR048,TAY611-8C,Tubular,Rolls-Royce,Rolls-Royce,Dahlewitz,22-Jan-02,8-May-11,MTF,3.26,15.88,61.6,-,5.2,26.6,275,72.4,2500,5.2,-,1.946,99.9 - 102,"1. Certification Report O-TR0546/11  2. Certification in accordance with Part III, Chapter 2, of Amendment 6 of ICAO Annex 16 Vol. II.  3. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
3RR031,TAY 650,Pedhead,Rolls Royce plc,Rolls Royce plc,"SINFIN, Derby",Jun-97,,MTF,3.0,15.9,67.2,-,6.0 ,30.6 ,261 ,80.0 ,2591 ,12.7,AVTUR,1.95,-,1. Pedhead combustor
3RR032,TAY 651,Pedhead,Rolls Royce plc,Rolls Royce plc,"SINFIN, Derby",Jun-97,,MTF,3.0,16.4,68.5,-,6.3 ,32.1 ,276 ,82.2 ,2760 ,12.7,AVTUR,1.95,-,1. Pedhead combustor
3RR033,TAY 651,Transply,Rolls Royce plc,Rolls Royce plc,"SINFIN, Derby",Mar-88,Oct-89,MTF,3.0,16.4,68.5,-,13.3 ,67.9 ,689 ,113.6 ,2990 ,20.5,AVTUR,1.91,99-101,1. Transply combustor
1RR019,TAY Mk611-8,,Rolls Royce Ltd,-,-,Oct-86,Nov-86,MTF,3.0 ,16.1,61.6,-,13.9 ,71.0 ,684 ,79.0 ,2814 ,25.0,AVTUR,1.91,100,1. Data from certification report CRR19019
1RR020,TAY Mk620-15 ,,Rolls Royce Ltd,-,-,Oct-86,Nov-86,MTF,3.0 ,16.1,61.6,-,13.9 ,71.0 ,684 ,79.0 ,2814 ,25.0,AVTUR,1.91,100,1. Data from certification report CRR19019
1RR021,TAY Mk650-15,,Rolls Royce Ltd,Rolls Royce Ltd,Derby,Mar-88,Oct-89,MTF,3.0 ,16.4,67.2,-,13.9 ,71.0 ,717 ,117.2 ,2875 ,20.6,AVTUR,1.91,99-101,1. Data from certification report CRR19057
8RR044,Trent 553-61,Phase5 Tiled,Rolls-Royce,Rolls-Royce,Derby,23-Jun-05,24-Jun-05,TF,7.5,35.19,251.9,-,0.3,1.5,60,17,14444,5.4,-,1.97,100.04 - 102.91,1. Certification Report DNS 90543  2. EP Engine Standard
6RR041,Trent 556-61,Phase5 Tiled,Rolls Royce,Rolls Royce,Derby,7-Jan-02,18-Jan-02,TF,7.5 ,36.71,261.5,-,0.2 ,1.0 ,36 ,16.6 ,16113 ,3.7,-,1.97,100.04 - 102.91,1. Certification report DNS 85728  2. Phase 5 tiled combustor
8RR045,Trent 556-61,Phase5 Tiled,Rolls-Royce,Rolls-Royce,Derby,23-Jun-05,24-Jun-05,TF,7.5,36.63,263.9,-,0.3,1.5,57,15.2,16167,5.4,-,1.97,100.04 - 102.91,1. Certification Report DNS 90543  2. EP Engine Standard  3. Engines manufactured after 2004
2RR022,Trent 768,,Rolls Royce plc,Rolls Royce plc,"SINFIN, Derby",Jul-94,,MTF,5.15,34.04,298.7,-,3.9 ,19.8 ,752 ,18.5 ,18672 ,1.6,AVTUR,1.94,100.6,1. Data from certification report DNS 12859.  2. For SN by mode data use 3RR029 data
3RR029,Trent 768,Improved traverse,Rolls Royce plc,Rolls Royce plc,"SINFIN, Derby",Sep-94,,MTF,5.15,34,300.3,-,4.2 ,21.4 ,801 ,36.5 ,15658 ,2.6,AVTUR,1.95,100.2,1. Data from certification report DNS 19234.  2. Improved traverse combustor.
2RR023,Trent 772,,Rolls Royce plc,Rolls Royce plc,"SINFIN, Derby",Jul-94,,MTF,5.03,35.79,315.9,-,3.5 ,18.0 ,735 ,16.4 ,21462 ,1.6,AVTUR,1.94,100.6,1. Data from certification report DNS 12859.  2. For SN by mode data use 3RR030 data
3RR030,Trent 772,Improved traverse,Rolls Royce plc,Rolls Royce plc,"SINFIN, Derby",Sep-94,,MTF,5.03,35.8,316.3,-,3.2 ,16.3 ,640 ,31.9 ,17784 ,2.6,AVTUR,1.95,100.2,"1. Data from certification report DNS 19234.  2. Improved traverse combustor.  3. Valid for Trent 772B and Trent 772C.  4. Certification in accordance with Part III, Chapter 2, of Amendment 6 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
2RR024,Trent 875,,Rolls Royce plc,Rolls Royce plc,"SINFIN, Derby",Sep-94,,TF,6.08,35.42,351.85,-,3.4 ,17.3 ,778 ,30.6 ,17575 ,6.9,AVTUR,1.95,100.2,1. Data from certification report DNS 14445
2RR025,Trent 877,,Rolls Royce plc,Rolls Royce plc,"SINFIN, Derby",Sep-94,,TF,6.02,36.30,361.64,-,2.9 ,14.9 ,677 ,28.6 ,18736 ,6.9,AVTUR,1.95,100.2,1. Data from certification report DNS 14445
2RR026,Trent 884,,Rolls Royce plc,Rolls Royce plc,"SINFIN, Derby",Sep-94,,TF,5.87,38.96,390.10,-,1.9 ,9.5 ,484 ,23.4 ,22687 ,6.9,AVTUR,1.95,100.2,1. Data from certification report DNS 14445
2RR027,Trent 892,,Rolls Royce plc,Rolls Royce plc,"SINFIN, Derby",Sep-94,,TF,5.7,41.38,411.48,-,1.2 ,6.1 ,329 ,18.8 ,26405 ,6.9,AVTUR,1.95,100.2,1. Data from certification report DNS 14445
5RR040,Trent 895,,Rolls-Royce plc,Rolls-Royce plc,"SINFIN, Derby",Sep-94,,TF,5.7,41.52,413.05,-,1.7 ,8.6 ,462 ,23.1 ,28029 ,6.9,AVTUR,1.95,100.2,1. Data from certification report DNS59304
8RR046,Trent 970-84,Phase5 Tiled,Rolls-Royce,Rolls-Royce,Derby,18-Mar-06,18-Mar-06,TF,7.5,38.97,334.7,-,0.4,1.9,81,23.6,16555,6.8,-,1.9,100.4 - 100.4,"1. Data from report DNS 109444  2. Certification in accordance with Part III, Chapter 2, of Amendment 6 of ICAO Annex 16 Vol. II.  3. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
9RR047,Trent 972-84,Phase5 Tiled,Rolls-Royce,Rolls-Royce,Derby,18-Mar-06,18-Mar-06,TF,7.5,38.64,345.90,-,0.50,2.3,101,25.2,17327,6.80,-,1.86,100.4 - 100.4,"1. Data from report DNS 97212 Issue 3  2. Certification in accordance with Part III, Chapter 2, of Amendment 6 of ICAO Annex 16 Vol. II.  3. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
11RR049,Trent 1000-A,Phase5 Tiled,Rolls-Royce,Rolls-Royce,Derby,24-Sep-09,9-Jun-11,TF,9.47,41,310.8,12RR055,0.08,0.4,21,12.18,17350,5.75,-,1.89,98.9 - 102.1,1. Representative of Package B engines
11RR050,Trent 1000-C,Phase5 Tiled,Rolls-Royce,Rolls-Royce,Derby,24-Sep-09,9-Jun-11,TF,9.32,43.78,334.7,12RR056,0.05,0.3,14,10.46,20942,5.75,-,1.89,98.9 - 102.1,1. Representative of Package B engines
11RR051,Trent 1000-D,Phase5 Tiled,Rolls-Royce,Rolls-Royce,Derby,24-Sep-09,9-Jun-11,TF,9.32,43.78,334.7,12RR057,0.05,0.3,14,10.46,20942,5.75,-,1.89,98.9 - 102.1,1. Representative of Package B engines
11RR052,Trent 1000-E,Phase5 Tiled,Rolls-Royce,Rolls-Royce,Derby,24-Sep-09,9-Jun-11,TF,9.67,37.51,279.8,12RR058,0.14,0.7,33,15.26,13462,5.75,-,1.89,98.9 - 102.1,1. Representative of Package B engines
11RR053,Trent 1000-G,Phase5 Tiled,Rolls-Royce,Rolls-Royce,Derby,24-Sep-09,9-Jun-11,TF,9.39,42.53,323.7,12RR059,0.06,0.3,17,11.22,19198,5.75,-,1.89,98.9 - 102.1,1. Representative of Package B engines
11RR054,Trent 1000-H,Phase5 Tiled,Rolls-Royce,Rolls-Royce,Derby,24-Sep-09,9-Jun-11,TF,9.62,38.33,286.7,12RR060,0.12,0.6,29,14.43,14312,5.75,-,1.89,98.9 - 102.1,1. Representative of Package B engines
12RR055,Trent 1000-A,Phase5 Tiled,Rolls-Royce,Rolls-Royce,Derby,24-Sep-09,3-Aug-12,(TF),9.47,41.04,310.9,-,0.06,0.3,17,11.68,17262,6.5,-,1.9,98.9 - 102.1,"1. Representative of Package B engines  2. DNS170301  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
12RR056,Trent 1000-C,Phase5 Tiled,Rolls-Royce,Rolls-Royce,Derby,24-Sep-09,3-Aug-12,(TF),9.32,43.78,334.7,-,0.04,0.2,12,10.03,20854,6.5,-,1.9,98.9 - 102.1,"1. Representative of Package B engines  2. DNS170301  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
12RR057,Trent 1000-D,Phase5 Tiled,Rolls-Royce,Rolls-Royce,Derby,24-Sep-09,3-Aug-12,(TF),9.32,43.78,334.7,-,0.04,0.2,12,10.03,20854,6.5,-,1.9,98.9 - 102.1,"1. Representative of Package B engines  2. DNS170301  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
12RR058,Trent 1000-E,Phase5 Tiled,Rolls-Royce,Rolls-Royce,Derby,24-Sep-09,3-Aug-12,(TF),9.74,36.19,268,-,0.14,0.7,34,16.13,12165,6.5,-,1.9,98.9 - 102.1,"1. Representative of Package B engines  2. DNS170301  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
12RR059,Trent 1000-G,Phase5 Tiled,Rolls-Royce,Rolls-Royce,Derby,24-Sep-09,3-Aug-12,(TF),9.39,42.53,323.7,-,0.05,0.3,14,10.76,19109,6.5,-,1.9,98.9 - 102.1,"1. Representative of Package B engines  2. DNS170301  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
12RR060,Trent 1000-H,Phase5 Tiled,Rolls-Royce,Rolls-Royce,Derby,24-Sep-09,3-Aug-12,(TF),9.62,38.33,287.1,-,0.1,0.5,24,13.84,14247,6.5,-,1.9,98.9 - 102.1,"1. Representative of Package B engines  2. DNS170301  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
12RR061,Trent 1000-A2,Phase5 Tiled,Rolls-Royce,Rolls-Royce,Derby,24-Sep-09,3-Aug-12,(TF),9.32,41.3,310.9,-,0.06,0.3,17,11.98,17288,6.5,-,1.9,98.9 - 102.1,"1. Representative of Package C1 engines  2. DNS183412   3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
